titulo;tipo_ruta;modalidad;provincia;dificultad;distancia;duracion_horas;duracion_minutos;desnivel_positivo;desnivel_negativo;tipo_recorrido;altitud_minima;altitud_maxima;sobre_ruta;mejor_epoca;puntos_interes;ecosistema;puntos_agua;valoracion;punto_inicio;forma_fisica;mejor_momento_dia;equipamiento;como_llegar;restricciones_permisos;parking_descripcion;transporte_publico;servicios_cercanos;alojamiento_cercano;avisos_seguridad;archivo_gpx;galeria_imagenes
GR-7 Tramo Noroeste Murciano;GR;Senderismo;Murcia;Moderada;44;15;0;1700;1600;Travesía;500;1400;Tramo murciano del GR-7;Otoño-Primavera;Sierras del Noroeste;Monte mediterráneo;Fuentes puntuales;4.3;Moratalla;Media;Mañana;Protección solar;Acceso por Moratalla;Sin permisos;Parking urbano;Bus comarcal;Servicios básicos;Casas rurales;Calor;https://www.mendikat.net/com.gpx/gr7-murcia;
GR-7 Tramo Sierra de Aitana;GR;Senderismo;Alicante;Difícil;30;10;0;1800;1700;Travesía;600;1558;Tramo del GR-7 por la sierra más alta de Alicante;Otoño-Primavera;Sierra de Aitana;Pinar mediterráneo, rapaces;Fuentes estacionales;4.6;Benifato;Buena forma física;Mañana;Botas, abrigo;Acceso por Benifato;Sin permisos;Parking en pueblos;Bus limitado;Servicios rurales;Alojamientos rurales;Clima cambiante;https://www.femecv.com/gpx/gr7-aitana.gpx;
GR-92 Sender del Mediterrani;GR;Senderismo;Barcelona;Moderada;210;0;0;3200;3300;Travesía por etapas;0;500;Gran recorrido litoral catalán;Todo el año;Costa mediterránea;Vegetación litoral;Puntos urbanos;4.3;Barcelona;Media;Mañana;Calzado ligero;Acceso urbano;Zonas protegidas;Parking urbano;Transporte público;Servicios completos;Hoteles;Calor;https://senders.feec.cat/gr92.gpx;
GR-92 Sender del Mediterrani;GR;Senderismo;Girona;Moderada;224;0;0;3400;3500;Travesía por etapas;0;500;Tramo norte del sendero litoral catalán;Todo el año;Costa Brava;Vegetación litoral mediterránea;Puntos urbanos;4.6;Portbou;Media;Mañana;Calzado ligero;Acceso por Portbou;Espacios protegidos;Parking urbano;Tren y bus;Servicios completos;Hoteles;Calor en verano;https://senders.feec.cat/gr92-girona.gpx;
GR-93 Sierra Espuña;GR;Senderismo;Región de Murcia;Moderada;45;16;0;2100;2100;Circular;300;1583;Gran recorrido del Parque Regional de Sierra Espuña;Primavera-Otoño;Sierra Espuña;Pinar mediterráneo;Fuentes;4.6;Totana;Media;Mañana;Botas, agua;Acceso por Totana;Parque Regional;Parking señalizado;Bus comarcal;Servicios básicos;Casas rurales;Calor;https://www.mendikat.net/com.gpx/gr93;
GR-99 Camino Natural del Ebro;GR;Senderismo;Tarragona;Moderada;120;0;0;900;1100;Travesía por etapas;0;600;Recorrido fluvial del Ebro;Primavera-Otoño;Delta del Ebro;Humedales;Río Ebro;4.5;Miravet;Media;Mañana;Calzado cómodo;Acceso local;Espacio protegido;Parking local;Bus regional;Servicios básicos;Hoteles;Calor;https://senders.feec.cat/gr99.gpx;
PR-A 1 Sendero del Agua;PR;Senderismo;Álava;Moderada;95;3;0;220;220;Circular;520;740;Sendero homologado por valles y manantiales;Primavera-Otoño;Riberas y hayedos;Bosque atlántico;Fuentes;4.3;Parque Natural Gorbeia;Básica;Mañana;Calzado senderismo;Acceso local;Espacio protegido;Parking señalizado;Bus comarcal;Servicios básicos;Casas rurales;Tramos resbaladizos;https://mendikat.net/pr-a1.gpx;
PR-A 212 Cahorros de Monachil;PR;Senderismo;Granada;Moderada;65;3;0;270;270;Lineal;800;1050;Ruta por desfiladero y puentes colgantes;Primavera-Otoño;Cahorros del Monachil;Vegetación de ribera;Río Monachil;4.8;Monachil;Básica;Mañana;Calzado antideslizante;Acceso urbano;Espacio protegido;Parking local;Bus urbano;Servicios completos;Hoteles;Pasos estrechos;https://juntadeandalucia.es/pra212.gpx;
PR-AB 19 Laguna del Arquillo;PR;Senderismo;Albacete;Moderada;11;3;30;260;260;Circular;980;1180;Ruta circular por humedales de montaña;Primavera;Laguna del Arquillo;Monte mediterráneo;Laguna;4.4;Povedilla;Básica;Mañana;Calzado cómodo;Acceso por Povedilla;Sin permisos;Parking rural;Bus limitado;Servicios básicos;Casas rurales;Barro tras lluvias;https://mendikat.net/pr-ab19.gpx;
PR-CV 100 Senderos de Rótova;PR;Senderismo;Valencia;Moderada;124;5;20;520;520;Circular;90;565;Red de senderos históricos y naturales;Todo el año;Sierras Falconera y Ador;Vegetación mediterránea;Fuentes;4.5;Rótova;Básica;Mañana;Protección solar;Acceso urbano;PR homologado;Parking municipal;Bus regional;Servicios completos;Hoteles rurales;Calor en verano;https://femecv.com/prcv100.gpx;
PR-GI 18 Volcán Croscat;PR;Senderismo;Girona;Fácil;45;1;45;120;120;Circular;540;786;Itinerario por la Zona Volcánica de la Garrotxa;Todo el año;Volcán Croscat;Hayedo y robledal;Fuentes puntuales;4.6;Santa Pau;Básica;Mañana;Calzado cómodo;Acceso por Santa Pau;Parque Natural;Parking habilitado;Bus comarcal;Servicios básicos;Casas rurales;Barro tras lluvias;https://senders.feec.cat/prgi18.gpx;
PR-GR 7 Acequia del Toril;PR;Senderismo;Granada;Moderada;10;4;0;350;350;Lineal;900;1200;Sendero histórico por acequias tradicionales;Primavera-Otoño;Valle del Genil;Bosque de ribera;Acequias;4.4;Güéjar Sierra;Básica;Mañana;Calzado montaña;Acceso por Güéjar Sierra;Espacio protegido;Parking urbano;Bus comarcal;Servicios básicos;Casas rurales;Tramos estrechos;https://juntadeandalucia.es/prgr7.gpx;
PR-GU 03 Tejera Negra;PR;Senderismo;Guadalajara;Moderada;6;2;30;170;170;Circular;1400;1600;Sendero por hayedo relicto;Otoño;Hayedo de Tejera Negra;Bosque atlántico;Arroyos;4.7;Cantalojas;Básica;Mañana;Abrigo;Acceso controlado;Parque Natural;Parking habilitado;Bus limitado;Servicios básicos;Casas rurales;Aforo limitado;https://mendikat.net/pr-gu03.gpx;
PR-GU 04 Hayedo de Montejo;PR;Senderismo;Guadalajara;Fácil;25;1;30;80;80;Circular;1250;1350;Ruta guiada por hayedo relicto;Otoño;Hayedo de Montejo;Bosque atlántico;Arroyos;4.8;Montejo de la Sierra;Básica;Mañana;Abrigo;Acceso controlado;Reserva;Parking limitado;Bus limitado;Servicios básicos;Casas rurales;Aforo obligatorio;https://mendikat.net/prgu04.gpx;
PR-HU 74 Cola de Caballo;PR;Senderismo;Huesca;Moderada;17;6;0;650;650;Lineal;1300;1750;Ruta clásica del PN Ordesa;Primavera-Otoño;Circo de Soaso;Alta montaña;Río Arazas;4.9;Pradera de Ordesa;Media;Mañana;Equipo montaña;Bus lanzadera;Parque Nacional;Parking regulado;Bus estacional;Servicios turísticos;Hoteles;Nieve;https://mendikat.net/prhu74.gpx;
PR-IB 2 Camí de s'Arxiduc;PR;Senderismo;Illes Balears;Moderada;135;5;0;600;600;Circular;300;870;Sendero histórico en la Serra de Tramuntana;Primavera-Otoño;Miradores Tramuntana;Bosque mediterráneo;Fuentes;4.7;Valldemossa;Media;Mañana;Calzado montaña;Acceso por Valldemossa;Espacio protegido;Parking urbano;Bus insular;Servicios turísticos;Hoteles;Calor;https://caib.es/prib2.gpx;
PR-L 20 Estany de Sant Maurici;PR;Senderismo;Lleida;Moderada;95;3;30;380;380;Lineal;1650;1900;Sendero emblemático del PN Aigüestortes;Verano;Lagos alpinos;Alta montaña;Ríos y lagos;4.8;Espot;Media;Mañana;Equipo montaña;Bus lanzadera;Parque Nacional;Parking regulado;Bus estacional;Servicios turísticos;Hoteles;Tormentas;https://senders.feec.cat/prl20.gpx;
PR-LA 15 Montes Obarenes;PR;Senderismo;La Rioja;Moderada;12;4;0;450;450;Circular;600;1050;Sendero por sierras del norte riojano;Primavera-Otoño;Desfiladeros Obarenes;Bosque mediterráneo;Fuentes;4.3;Cellorigo;Básica;Mañana;Calzado montaña;Acceso local;Parque Natural;Parking rural;Bus limitado;Servicios básicos;Casas rurales;Tramos pedregosos;https://mendikat.net/prla15.gpx;
PR-LE 23 Hoces de Vegacervera;PR;Senderismo;León;Moderada;105;3;30;320;320;Lineal;950;1180;Recorrido por hoces calizas del Torío;Primavera-Otoño;Hoces de Vegacervera;Bosque de ribera;Río Torío;4.5;Vegacervera;Básica;Mañana;Calzado montaña;Acceso local;Espacio protegido;Parking rural;Bus comarcal;Servicios básicos;Casas rurales;Pasos estrechos;https://mendikat.net/prle23.gpx;
PR-LU 14 Fervenza do Escouridal;PR;Senderismo;Lugo;Fácil;6;2;0;120;120;Circular;300;420;Ruta fluvial con cascadas;Todo el año;Fervenzas;Bosque atlántico;Riachuelos;4.4;Mondoñedo;Básica;Mañana;Calzado impermeable;Acceso local;Uso público;Parking local;Bus regional;Servicios básicos;Casas rurales;Barro;https://mendikat.net/prlu14.gpx;
PR-M 2 Camino Schmid;PR;Senderismo;Madrid;Moderada;65;2;30;300;300;Lineal;1400;1800;Clásico sendero histórico de Guadarrama;Primavera-Otoño;Valle de Valsaín;Pinar de montaña;Arroyos;4.6;Puerto de Navacerrada;Básica;Mañana;Abrigo;Cercanías Renfe;Parque Nacional;Parking puerto;Tren;Servicios turísticos;Hoteles;Nieve en invierno;https://mendikat.net/prm2.gpx;
PR-M 4 Senda Victory;PR;Senderismo;Madrid;Moderada;7;2;30;280;280;Circular;1200;1500;Sendero histórico por pinares;Primavera-Otoño;Valle de la Fuenfría;Pinar serrano;Arroyos;4.4;Cercedilla;Básica;Mañana;Abrigo;Cercanías Renfe;Parque Nacional;Parking señalizado;Tren;Servicios turísticos;Hoteles;Nieve;https://mendikat.net/prm4.gpx;
PR-MA 5 Torcal Alto;PR;Senderismo;Málaga;Moderada;45;2;0;220;220;Circular;1100;1200;Itinerario kárstico señalizado;Todo el año;El Torcal;Karst mediterráneo;Ninguno;4.7;Torcal de Antequera;Básica;Mañana;Calzado antideslizante;Acceso MA-9016;Paraje Natural;Parking habilitado;Bus turístico;Servicios turísticos;Hoteles;Rocas pulidas;https://juntadeandalucia.es/prma5.gpx;
PR-MU 3 Cañón de Almadenes;PR;Senderismo;Murcia;Moderada;8;3;0;200;200;Lineal;250;420;Sendero por cañón fluvial;Otoño-Primavera;Cañón del Segura;Bosque de ribera;Río Segura;4.5;Cieza;Básica;Mañana;Protección solar;Acceso RM-514;Espacio protegido;Parking rural;Bus comarcal;Servicios básicos;Casas rurales;Calor;https://mendikat.net/prmu3.gpx;
PR-NA 8 Bosque de Irati;PR;Senderismo;Navarra;Moderada;78;3;0;260;260;Circular;820;1080;Sendero por hayedo-abetal;Verano-Otoño;Selva de Irati;Bosque atlántico;Arroyos;4.8;Ochagavía;Básica;Mañana;Abrigo;Acceso NA-2012;Reserva Natural;Parking regulado;Bus estacional;Servicios turísticos;Hoteles;Niebla;https://mendikat.net/prna8.gpx;
PR-OU 6 Ruta dos Muiños;PR;Senderismo;Ourense;Fácil;55;2;0;140;140;Circular;200;340;Ruta etnográfica fluvial;Todo el año;Muiños tradicionales;Bosque atlántico;Río;4.3;Allariz;Básica;Mañana;Calzado cómodo;Acceso urbano;Uso público;Parking urbano;Bus regional;Servicios completos;Hoteles;Barro;https://mendikat.net/prou6.gpx;
PR-P 12 Monte el Viejo;PR;Senderismo;Palencia;Fácil;6;2;0;150;150;Circular;760;880;Sendero periurbano señalizado;Todo el año;Monte El Viejo;Encinar;Fuentes;4.2;Palencia;Básica;Mañana;Calzado cómodo;Acceso urbano;Uso público;Parking urbano;Bus urbano;Servicios completos;Hoteles;Calor;https://mendikat.net/prp12.gpx;
PR-PO 1 Camiño da Pedra e da Auga;PR;Senderismo;Pontevedra;Fácil;7;2;30;90;90;Lineal;40;120;Ruta fluvial y molinos;Todo el año;Río Armenteira;Bosque atlántico;Río;4.7;Mosteiro de Armenteira;Básica;Mañana;Calzado impermeable;Acceso local;Uso público;Parking rural;Bus regional;Servicios básicos;Casas rurales;Humedad;https://mendikat.net/prpo1.gpx;
PR-S 15 Costa Quebrada;PR;Senderismo;Cantabria;Moderada;8;3;0;260;260;Lineal;0;90;Sendero litoral acantilado;Todo el año;Costa Quebrada;Vegetación litoral;Calas;4.6;Liencres;Básica;Mañana;Calzado antideslizante;Acceso CA-231;Geoparque;Parking regulado;Bus comarcal;Servicios turísticos;Hoteles;Oleaje;https://mendikat.net/prs15.gpx;
PR-SA 7 Arribes del Duero;PR;Senderismo;Salamanca;Moderada;95;3;30;420;420;Lineal;680;980;Sendero por cañones del Duero;Primavera;Arribes;Bosque mediterráneo;Río Duero;4.5;Aldeadávila;Básica;Mañana;Calzado montaña;Acceso local;Parque Natural;Parking rural;Bus regional;Servicios básicos;Casas rurales;Calor;https://mendikat.net/prsa7.gpx;
PR-SE 2 Vía Verde de Itálica;PR;Senderismo;Sevilla;Fácil;4;1;30;60;60;Lineal;10;40;Itinerario histórico romano;Todo el año;Conjunto arqueológico;Vegetación mediterránea;Ninguno;4.4;Santiponce;Básica;Mañana;Calzado cómodo;Acceso urbano;Zona protegida;Parking urbano;Bus urbano;Servicios completos;Hoteles;Calor;https://juntadeandalucia.es/prse2.gpx;
PR-SO 9 Cañón del Río Lobos;PR;Senderismo;Soria;Moderada;10;3;30;280;280;Lineal;980;1200;Sendero emblemático del parque;Primavera-Otoño;Cañón kárstico;Sabinar;Río Lobos;4.8;Ucero;Básica;Mañana;Calzado montaña;Acceso SO-920;Parque Natural;Parking regulado;Bus limitado;Servicios básicos;Casas rurales;Frío;https://mendikat.net/prso9.gpx;
PR-T 4 Bosque de Poblet;PR;Senderismo;Tarragona;Moderada;85;3;0;320;320;Circular;450;780;Sendero por bosque de Poblet;Primavera-Otoño;Paraje Natural;Bosque mediterráneo;Fuentes;4.4;L'Espluga de Francolí;Básica;Mañana;Calzado montaña;Acceso local;Paraje Natural;Parking habilitado;Bus regional;Servicios básicos;Casas rurales;Calor;https://senders.feec.cat/prt4.gpx;
PR-TE 6 Nacimiento del Pitarque;PR;Senderismo;Teruel;Moderada;10;4;0;300;300;Lineal;900;1100;Sendero fluvial y cascadas;Primavera;Río Pitarque;Bosque de ribera;Manantiales;4.7;Pitarque;Básica;Mañana;Calzado impermeable;Acceso local;Monumento Natural;Parking rural;Bus limitado;Servicios básicos;Casas rurales;Crecidas;https://mendikat.net/prte6.gpx;
PR-TO 12 Barrancas de Burujón;PR;Senderismo;Toledo;Fácil;35;1;30;90;90;Circular;460;540;Miradores sobre cárcavas;Todo el año;Barrancas;Vegetación esteparia;Ninguno;4.5;Burujón;Básica;Mañana;Calzado cómodo;Acceso CM-4000;Monumento Natural;Parking habilitado;Bus limitado;Servicios básicos;Casas rurales;Viento;https://mendikat.net/prto12.gpx;
PR-V 8 Ruta del Agua de Chelva;PR;Senderismo;Valencia;Moderada;6;2;30;200;200;Circular;500;650;Ruta hidráulica histórica;Todo el año;Río Tuéjar;Bosque mediterráneo;Fuentes;4.6;Chelva;Básica;Mañana;Calzado montaña;Acceso urbano;Uso público;Parking municipal;Bus regional;Servicios completos;Casas rurales;Escaleras;https://femecv.com/prv8.gpx;
PR-VA 5 Riberas del Pisuerga;PR;Senderismo;Valladolid;Fácil;7;2;30;80;80;Lineal;680;740;Sendero fluvial periurbano;Todo el año;Riberas del Pisuerga;Bosque de ribera;Río;4.2;Simancas;Básica;Mañana;Calzado cómodo;Acceso urbano;Uso público;Parking urbano;Bus urbano;Servicios completos;Hoteles;Calor;https://mendikat.net/prva5.gpx;
PR-VI 3 Salinas de Añana;PR;Senderismo;Álava;Fácil;4;1;30;60;60;Circular;520;580;Itinerario cultural y natural;Todo el año;Salinas;Vegetación halófila;Manantiales;4.6;Añana;Básica;Mañana;Calzado cómodo;Acceso local;Bien Cultural;Parking habilitado;Bus comarcal;Servicios turísticos;Casas rurales;Sol;https://mendikat.net/prvi3.gpx;
PR-Z 2 Galachos del Ebro;PR;Senderismo;Zaragoza;Fácil;5;2;0;70;70;Circular;180;250;Ruta por galachos y meandros;Todo el año;Galachos;Bosque de ribera;Río Ebro;4.3;La Alfranca;Básica;Mañana;Calzado cómodo;Acceso urbano;Reserva Natural;Parking habilitado;Bus urbano;Servicios turísticos;Hoteles;Mosquitos;https://mendikat.net/prz2.gpx;
PR-ZA 10 Arribes del Duero Norte;PR;Senderismo;Zamora;Moderada;11;4;0;450;450;Lineal;620;980;Sendero por cortados del Duero;Primavera;Arribes;Bosque mediterráneo;Río Duero;4.5;Fermoselle;Básica;Mañana;Calzado montaña;Acceso local;Parque Natural;Parking rural;Bus regional;Servicios básicos;Casas rurales;Calor;https://mendikat.net/prza10.gpx;
SL-AST 02 Ruta de las Xanas;SL;Senderismo;Asturias;Moderada;75;3;0;350;350;Lineal;200;550;Desfiladero tallado en roca;Primavera-Otoño;Desfiladero de las Xanas;Bosque atlántico;Arroyos;4.7;Villanueva;Básica;Mañana;Calzado montaña;Acceso local;Espacio protegido;Parking rural;Bus comarcal;Servicios básicos;Casas rurales;Pasos expuestos;https://mendikat.net/sl-ast02.gpx;
SL-GI 05 Camí de Ronda (Tramo);SL;Senderismo;Girona;Fácil;4;1;30;60;60;Lineal;0;40;Sendero litoral señalizado;Todo el año;Costa Brava;Vegetación litoral;Calas;4.6;Calella de Palafrugell;Básica;Mañana;Calzado ligero;Acceso urbano;Espacio protegido;Parking urbano;Bus regional;Servicios completos;Hoteles;Oleaje;https://senders.feec.cat/slgi05.gpx;
SL-GIP 03 Paseo Talaia;SL;Senderismo;Gipuzkoa;Fácil;32;1;15;60;60;Lineal;10;70;Senda litoral señalizada;Todo el año;Costa vasca;Vegetación litoral;Ninguno;4.5;Zarautz;Básica;Mañana;Calzado cómodo;Acceso urbano;Uso público;Parking urbano;Bus y tren;Servicios completos;Hoteles;Oleaje;https://mendikat.net/slgip03.gpx;
SL-IB 12 Torrent de Pareis (Accesos);SL;Senderismo;Islas Baleares;Moderada;5;3;0;300;300;Lineal;0;300;Accesos señalizados al torrente;Primavera-Otoño;Torrent de Pareis;Karst mediterráneo;Ninguno;4.7;Escorca;Media;Mañana;Calzado técnico;Acceso por MA-10;Espacio protegido;Parking limitado;Bus estacional;Servicios básicos;Hoteles;Riesgo crecidas;https://caib.es/slib12.gpx;
SL-LE 01 Senda del Oso (Tramo);SL;Senderismo;León;Fácil;5;1;30;80;80;Lineal;300;380;Senda local accesible por valle fluvial;Todo el año;Valle del Oso;Bosque de ribera;Río;4.4;Entrago;Básica;Mañana;Calzado cómodo;Acceso local;Uso compartido;Parking habilitado;Bus regional;Servicios básicos;Casas rurales;Usuarios múltiples;https://mendikat.net/sl-le01.gpx;
